 ABM,Maybank Kim Eng
 BER,Berenberg
 BMO,BMO Capital Markets
 BMU,Brean Capital
 BSC,Mega Securities
 CAB,ABC International
 CFG,Cantor Fitzgerald
 CIC,CICC
 CIM,CIMB
 CMW,CM Research
 COS,Iwai Cosmo Securities Co. Ltd
 CSN,Cathay Securities
 DNG,Dongbu Securities
 ETD,EBEST Investment
 EVR,Evercore
 GTJ,Guotai Junan
 HSB,HSBC
 HWS,"Hanwha Securities Co., Ltd"
 HYD,KB Securities
 IBK,IBK Securities
 ICI,ICBC Research
 IVS,Investec
 JIH,Jih Sun Securities
 JIN,Haitong International
 KAY,UOB Kay Hian
 KBI,KB Investment
 KGI,KGI Securities
 KIW,KIWOOM Securities Co Ltd
 KTB,KTB Securities
 KYB,Kyobo Securities
 MAR,Marusan Securities
 MIO,Mito Securities
 MLS,Masterlink Securities
 MRZ,Meritz Securities
 NDB,Nord/LB
 NHS,NH Investment
 NSR,New Street Research
 PHS,Phillip Securities
 PJE,Piper Jaffray
 SSS,Samsung Securities
 SUS,Susquehanna Financial
 SYS,Shinyoung Securities
 TBA,Tachibana Securities
 TFS,Haitong International Securities
 ZXS,Citic Securities
ACE,ACE Research Institute
ALP,AlphaValue
APL,Argonaut Securities Pty Ltd
ARR,Avior Capital Markets Pty Ltd
ATN,Aton LLC
BCA,Barclays
BCM,BOCOM International Holdings
BFG,Bell Potter
BMK,Benchmark Company LLC
BNP,BNP Paribas Equity Research
BOC,Bank of China International
CAN,Canaccord Genuity
CAR,Carnegie
CBI,CCB International Securities Ltd
CJK,HI Investment Securities
CKM,Clarksons Platou Securities Inc
CMB,CMB International Capital Corp Ltd
CMS,China Merchants Securities
CRU,Crucial Perspective Pte Ltd
CSL,Capital Securities Corp
CSR,BCS
CWN,Cowen
DBD,Day by Day
DBG,Deutsche Bank
DBS,DBS Vickers
DIR,Daiwa Securities
DNM,DNB Markets
DRW,Drewry Financial Services Ltd
DSK,"Daishin Securities(AGCO, Maybank, OKasa"
DWI,"Mirae Asset Daewoo Co.,Ltd."
DZB,DZ Bank AG
EUG,"Eugene Investment & Securities Co., Ltd"
EVA,Evans & Partners Pty Ltd
EXN,Haitong
FBC,Credit Suisse
FBS,Fubon Securities
FFO,Fearnley Securities
FSG,First Shanghai Securities Ltd
GDZ,"Everbright Securities Co., Ltd"
GFS,GF Securities Co. Ltd.
GMS,Shinhan Investment Corp
GSR,Goldman Sachs
HAN,Hana Daetoo Securities
HMC,HMC Investment Securities Co Ltd
HTS,"Hua Tai Securities Co., Ltd"
ISR,Banco Sabadell
JEF,Jefferies
JPM,J.P. Morgan
KBW,"Keefe, Bruyette & Woods"
KEP,Kepler Cheuvreux
KIS,Korea Investment & Securities
LBB,Landesbank Baden-Wuerttemberg
LTS,Blue Lotus Capital Advisors Ltd.
MAC,Macquarie
MSR,Morgan Stanley
MSV,"Morningstar, Inc"
MUS,Mitsubishi UFJ Morgan Stanley
MZL,Bankhaus Metzler
MZS,Mizuho Securities Co Ltd
MZU,Mizuho Securities USA Inc
NBF,National Bank Financial
NDA,Nordea
NDH,Needham & Co
NIK,SMBC Nikko
NMR,Nomura
OKA,Okasan Securities (AGCO Partner)
PAR,Pareto Securities
PCI,Paradigm Capital Inc
PLT,Clarksons Platou Securities AS
RBC,RBC Capital Markets
RBM,Morgans Financial Limited
REN,Renaissance Capital
RHK,China Renaissance
RWB,Baird
SBX,SBG Securities
SCB,Bernstein
SCO,Scotia Capital
SEG,Seaport Global Securities
SGE,Societe Generale
SKS,SK Securities Co Ltd
SNR,Stifel
SWR,SWS Research
THC,TH Capital LLC
TTC,Tokai Tokyo Securities
UBS,UBS
VON,Bank Vontobel AG
VTB,VTB Capital
WFR,Wells Fargo Securities
WRS,NH Investment & Securities Co Ltd
XYZ,Industrial Securities
YUT,Yuanta Securities Investment Consulting
ZXJ,"China Securities Co., Ltd"
DAD,D.A. Davidson & Co
GHZ,Sealand Securities
HWS,Hanwha
HYD,KB SECURITIES
LIG,Cape Investment Securities
CHC,Craig-Hallum Capital Group LLC
BAA,Baader-Helvea
WFT,Wolfe Research
MKM,MKM Partners
OFN,SOVA Capital Limited
ETD,EBEST Investment & Securities Co Ltd
LMP,Bankhaus Lampe
KSW,Kingsway SW Securities
RHB,RHB
BNS,FBN Securities
BSR,Grupo Santander
ZXS,"Citic Securities Co., Ltd"
SND,"Sandler O'Neill & Partners, LP"
QLZ,Zhongtai Securities Co Ltd
ESS,Essence Securities
YHR,China Galaxy Securities
GSC,GuoSen Securities Co Ltd
OIR,OCBC Investment Research
QIH,Zhongtai International
RCP,Roth Capital Partners
ACC,Accountability Research Corp
DNG,DB Financial Investment
TUD,Tudor Pickering & Co
RRC,MCM Asia Ltd
WEI,Scotia Howard Weil Inc
BCK,Buckingham Research Group
MRZ,"Meritz Securities Co., Ltd"
SYS,"Shinyoung Securities Co., Ltd."
SHW,Shaw and Partners
JYB,Jyske Bank
ERS,Erste Group
DPB,Bank Degroof Petercam
VTG,Vertical Group
PSG,President Capital Management
MOS,Motilal Oswal Securities Ltd
ESU,E Sun Securities
BSI,BNK Securities Co Ltd
MFG,MainFirst Bank AG
NIB,NIBC Bank N.V. (ESN)
DND,Eight Capital
LDS,Leading Investment
RJA,Raymond James
ARG,Argus Research Corp
EVR,Evercore ISI
NST,Nomura Instinet
CRO,Cross Research
AGD,Alembic Global Advisors
RHR,SunTrust Robinson Humphrey
WMS,Wedbush
WGR,CIBC Capital Markets
IXS,Natixis
IRF,Independent Research GmbH
BOW,Longbow Research
GAB,Gabelli & Co
VRP,Vertical Research Partners
SPS,Spin-Off Research
GUG,Guggenheim Securities
DBK,Danske Bank
LBM,Liberum
VIP,Value Investment Principals
ATL,Atlantic Equities LLP
CIR,Commerzbank
BTG,BTIG LLC
MXM,Maxim Group LLC
EXA,Exane BNP Paribas
OPY,Oppenheimer & Co
KEY,KeyBanc Capital Markets
ISC,ICICI Securities
PDL,Prabhudas Lilladher Pvt Ltd
ACF,Ahorro Corporacion Financiera SA
RLY,"B Riley FBR, Inc."
RBL,Rosenblatt Securities
