"","ZENUSOF.KY.Equity"
"1","2012-09-28"
"2","2012-10-31"
"3","2012-11-30"
"4","2012-12-31"
"5","2013-01-31"
"6","2013-02-28"
"7","2013-03-29"
"8","2013-04-30"
"9","2013-05-31"
"10","2013-06-28"
"11","2013-07-31"
"12","2013-08-30"
"13","2013-09-30"
"14","2013-10-31"
"15","2013-11-29"
"16","2013-12-31"
"17","2014-01-31"
"18","2014-02-28"
"19","2014-03-31"
"20","2014-04-30"
"21","2014-05-30"
"22","2014-06-30"
"23","2014-07-31"
"24","2014-08-29"
"25","2014-09-30"
"26","2014-10-31"
"27","2014-11-28"
"28","2014-12-31"
"29","2015-01-30"
"30","2015-02-27"
"31","2015-03-31"
"32","2015-04-30"
"33","2015-05-29"
"34","2015-06-30"
"35","2015-07-31"
"36","2015-08-31"
"37","2015-09-30"
"38","2015-10-30"
"39","2015-11-30"
"40","2015-12-31"
"41","2016-01-29"
"42","2016-02-29"
"43","2016-03-31"
"44","2016-04-29"
"45","2016-05-31"
"46","2016-06-30"
"47","2016-07-29"
"48","2016-08-31"
"49","2016-09-30"
"50","2016-10-31"
"51","2016-11-30"
"52","2016-12-30"
"53","2017-01-31"
"54","2017-02-28"
"55","2017-03-31"
"56","2017-04-28"
"57","2017-05-31"
"58","2017-06-30"
"59","2017-07-31"
"60","2017-08-31"
"61","2017-09-29"
"62","2017-10-31"
