Ticker,nLag,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9
992 HK Equity,3.00,0.0001,0.0029,0.9104,,,,,,
2018 HK Equity,3.00,0.0006,0.0011,0.2433,,,,,,
2038 HK Equity,2.00,0.0005,0.0001,,,,,,,
981 HK Equity,1.00,0.1870,,,,,,,,
3888 HK Equity,7.00,0.0083,0.0029,0.1368,0.1172,0.6307,0.4119,0.9973,,
696 HK Equity,2.00,0.0055,0.0035,,,,,,,
285 HK Equity,9.00,0.0000,0.0000,0.0020,0.3827,0.8654,0.7526,0.0418,0.0083,0.4385
2369 HK Equity,1.00,0.2327,,,,,,,,
354 HK Equity,1.00,0.2988,,,,,,,,
268 HK Equity,1.00,0.1203,,,,,,,,
1900 HK Equity,2.00,0.0287,0.0452,,,,,,,
161 HK Equity,3.00,0.0026,0.0020,0.2938,,,,,,
74 HK Equity,1.00,0.2383,,,,,,,,
1075 HK Equity,3.00,0.2277,0.2265,0.8752,,,,,,
877 HK Equity,1.00,0.1151,,,,,,,,
,2.67,0.0977,0.0316,0.4102,0.2500,0.7481,0.5822,0.5195,0.0083,0.4385
